precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPU IONEL-PARTIDUL NAȚIONAL LIBERAL-voturi","IERCU EUGEN-PARTIDUL SOCIAL DEMOCRAT-voturi","CORAŞ ARDELEAN-voturi"
37,TIMIŞ,"CĂMINUL CULTURAL ALIOȘ",468,MAŞLOC,157683,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:19:10",750,681,2,29,38,505,438,0,29,38,493,12,700,195,120,252,121
37,TIMIŞ,"CĂMINUL CULTURAL REMETEA MICĂ",469,MAŞLOC,157683,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:37:20",438,435,1,0,2,248,246,0,0,2,244,4,570,322,122,27,95
37,TIMIŞ,"PRIMĂRIA MAŞLOC",467,MAŞLOC,157683,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:56:53",859,836,1,7,15,508,486,0,7,15,495,13,900,392,261,51,183
