precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
35,SUCEAVA,"CĂMINUL CULTURAL HORODNIC DE JOS",351,"HORODNIC DE JOS",149101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:26:37",1389,1384,1,4,0,747,743,0,4,0,717,30,1415,668,116,552,49
35,SUCEAVA,"SCOALA PRIMARĂ VASILE ŢIGĂNESCU",352,"HORODNIC DE JOS",149101,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:34:01",632,629,0,3,0,338,335,0,3,0,327,11,800,462,47,259,21
