precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PANTELIMON OCTAVIAN-NICOLAE-PARTIDUL NAȚIONAL LIBERAL-voturi","GREAVU MARIA-PARTIDUL SOCIAL DEMOCRAT-voturi","GHIŢĂ DANIELA-MARIA-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"CĂMIN CULTURAL ALĂMOR",291,LOAMNEŞ,144795,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:54:54",611,595,0,7,9,379,363,0,7,9,366,13,660,281,72,262,32
34,SIBIU,"CĂMIN CULTURAL LOAMNEŞ",290,LOAMNEŞ,144795,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:23:49",526,494,1,16,15,356,325,0,16,15,353,3,540,184,13,292,48
34,SIBIU,"CĂMIN CULTURAL MÎNDRA",294,LOAMNEŞ,144795,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:39:11",293,279,0,11,3,293,279,0,11,3,204,5,300,91,5,167,32
34,SIBIU,"ŞCOALA PRIMARĂ ARMENI",292,LOAMNEŞ,144795,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:24:44",439,426,0,12,1,225,212,0,12,1,219,6,470,245,13,135,71
34,SIBIU,"ŞCOALA PRIMARĂ HAŞAG",293,LOAMNEŞ,144795,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:06:06",527,513,3,6,5,286,274,1,6,5,275,11,557,271,31,168,76
