precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CÂRJAN GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","MERIŞANU GHEORGHE-PARTIDUL NAȚIONAL LIBERAL-voturi"
36,TELEORMAN,"GRĂDINIŢA PLEAŞOV",261,SAELELE,155145,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:09:35",645,606,0,9,30,400,361,0,9,30,389,11,670,270,361,28
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ SAELELE",260,SAELELE,155145,3,PART,PRCNCT,P,P_SV,"2024-06-10 03:42:50",1202,1129,0,5,68,715,642,0,5,68,710,5,1241,526,669,41
