precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MAN RODICA-PARTIDUL SOCIAL DEMOCRAT-voturi","MOŞ GABRIEL-DORIN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","ŞANDOR IOAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BOSTAN RAMONA-LAURA-UNIUNEA SALVAȚI ROMÂNIA-voturi"
33,SĂLAJ,"CĂMINUL CULTURAL INĂU",275,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:14:13",485,455,0,8,22,317,287,0,8,22,309,8,531,214,21,8,246,34
33,SĂLAJ,"CĂMINUL CULTURAL ȘOIMUȘ",276,SOMEŞ-ODORHEI,142710,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:37:36",287,263,0,7,17,166,142,0,7,17,160,6,330,164,27,3,124,6
33,SĂLAJ,"CĂMINUL CULTURAL SOMEȘ-ODORHEI",272,SOMEŞ-ODORHEI,142710,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:48:00",1106,1065,1,7,33,698,663,0,7,28,669,29,1194,496,135,133,179,222
33,SĂLAJ,"ȘCOALA PRIMARĂ BÎRSA",273,SOMEŞ-ODORHEI,142710,1,PROV,PRCNCT,P,P_SV,"2024-06-10 00:04:24",88,74,0,8,6,45,31,0,8,6,45,0,100,55,5,11,25,4
33,SĂLAJ,"ȘCOALA PRIMARĂ DOMNIN",274,SOMEŞ-ODORHEI,142710,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:51:11",246,234,0,5,7,136,124,0,5,7,127,9,280,144,15,0,82,30
