precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA UCRAINENILOR DIN ROMÂNIA-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","MACHEDON MARIAN-voturi"
38,TULCEA,"LICEUL TEORETIC ”ION CREANGĂ”",15,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:02:27",1095,1087,2,5,1,503,497,0,5,1,499,4,1215,712,171,89,7,118,45,21,20,28
38,TULCEA,"PUNCT DE ÎNCASARE TAXE ŞI IMPOZITE LOCALE",28,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:46:44",1566,1556,2,8,0,688,680,0,8,0,679,9,1741,1053,232,124,14,171,75,29,15,19
38,TULCEA,"SALA DE SPORT MULTIFUNCŢIONALĂ „DANIEL IULIAN POHARIU”",33,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-10 13:55:56",1338,1329,1,8,0,503,495,0,8,0,486,17,1487,984,172,88,5,122,39,27,14,19
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CIUCURENCU”",23,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 17:39:40",1197,1184,4,7,2,484,475,0,7,2,477,7,1312,828,161,106,13,118,35,22,14,8
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU CIUCURENCU”",24,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 12:45:29",1556,1544,6,6,0,601,595,0,6,0,583,18,1710,1109,203,106,7,150,44,35,17,21
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",26,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:35",1343,1337,6,0,0,554,554,0,0,0,549,5,1494,940,159,103,3,180,48,20,21,15
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",25,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:56:54",1659,1623,0,4,32,711,675,0,4,32,708,3,1798,1087,227,122,2,183,88,37,27,22
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN GĂVENEA”",27,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:43:27",1444,1435,3,6,0,602,596,0,6,0,582,20,1592,990,184,69,11,179,72,19,30,18
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",8,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:56:58",1056,1041,2,6,7,435,422,0,6,7,421,14,1171,736,171,58,2,105,56,5,14,10
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",7,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:54:47",1234,1227,6,1,0,472,471,0,1,0,455,17,1416,944,168,52,9,127,48,20,16,15
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",9,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:08:10",1219,1190,19,10,0,559,548,1,10,0,548,11,1347,788,170,95,7,157,47,17,21,34
38,TULCEA,"ȘCOALA GIMNAZIALĂ „ELENA DOAMNA”",10,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:47:55",891,880,0,5,6,400,389,0,5,6,382,18,976,576,136,48,6,113,34,9,19,17
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”GRIGORE ANTIPA”",21,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:28:59",995,985,4,6,0,459,453,0,6,0,451,8,1105,646,160,53,2,139,54,15,13,15
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”GRIGORE ANTIPA”",20,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 12:38:31",1136,1133,0,3,0,462,459,0,3,0,457,5,1261,799,176,88,5,109,36,16,18,9
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”IOAN NENIŢESCU”",52,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 09:25:49",1225,1218,1,6,0,532,526,0,6,0,514,18,1348,816,191,91,6,140,28,35,9,14
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”IOAN NENIŢESCU”",53,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:20:00",1475,1465,3,6,1,643,633,3,6,1,621,22,1622,979,216,101,4,176,53,25,18,28
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",47,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:03:29",1325,1322,0,3,0,497,494,0,3,0,478,19,1472,975,165,88,8,116,41,29,20,11
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",45,"MUNICIPIUL TULCEA",159614,3,PART,PRCNCT,CL,CL_SV,"2024-06-11 15:05:13",1022,1013,4,5,0,384,379,0,5,0,377,7,1144,760,129,74,4,86,38,19,16,11
38,TULCEA,"ŞCOALA GIMNAZIALĂ ”NIFON BĂLĂŞESCU”",46,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:34:11",1465,1451,0,7,7,628,621,0,0,7,608,20,1616,988,203,116,4,156,44,32,29,24
38,TULCEA,"ŞCOALA GIMNAZIALĂ NR.12",32,"MUNICIPIUL TULCEA",159614,4,PART,PRCNCT,CL,CL_SV,"2024-06-11 16:50:14",1383,1370,1,11,1,481,469,0,11,1,469,12,1520,1039,175,73,6,123,34,26,19,13
38,TULCEA,"ŞCOALA GIMNAZIALĂ NR.12",31,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:02:09",1258,1247,1,10,0,533,523,0,10,0,518,15,1415,882,215,78,4,121,53,22,12,13
38,TULCEA,"ȘCOALA GIMNAZIALĂ NR. 12",30,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:44:31",1083,1055,0,8,20,444,416,0,8,20,435,9,1208,764,155,69,13,108,46,17,17,10
38,TULCEA,"ȘCOALA GIMNAZIALĂ NR. 12",29,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:13",1164,1158,0,6,0,506,500,0,6,0,500,6,1295,789,189,76,14,111,64,16,19,11
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",50,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:16",1130,1126,0,4,0,438,434,0,4,0,428,10,1246,808,128,86,3,120,27,18,24,22
38,TULCEA,"ŞCOALA PRIMARĂ NR. 9",51,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:13:45",1366,1358,1,7,0,504,497,0,7,0,491,13,1511,1007,169,91,5,130,26,37,15,18
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",48,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:20:47",1041,1035,1,5,0,370,365,0,5,0,340,30,1160,790,140,62,2,89,18,15,9,5
38,TULCEA,"ŞCOALA PROFESIONALĂ ”DANUBIUS”",49,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:00:03",1055,1049,0,6,0,410,404,0,6,0,403,7,1168,758,143,79,6,99,24,33,8,11
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",17,"MUNICIPIUL TULCEA",159614,2,PART,PRCNCT,CL,CL_SV,"2024-06-11 12:17:07",989,974,0,5,10,448,433,0,5,10,442,6,1082,634,185,65,5,108,36,22,11,10
38,TULCEA,"SEMINARUL TEOLOGIC ORTODOX ”SF. IOAN CASIAN”",18,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:46:48",916,908,4,4,0,407,403,0,4,0,398,9,1004,597,135,73,2,101,37,32,13,5
38,TULCEA,"TEATRUL ”JEAN BART”",19,"MUNICIPIUL TULCEA",159614,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:37:04",1465,1433,25,7,0,651,644,0,7,0,635,16,1577,926,261,66,9,161,73,18,24,23
