precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENACHE IULIANA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRE IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","FLOREA ION-PARTIDUL SOCIAL DEMOCRAT-voturi","MATEI GHEORGHE-UNIUNEA SALVAȚI ROMÂNIA-voturi"
36,TELEORMAN,"GRĂDINIȚA CU PROGRAM NORMAL NR. 1",182,GRATIA,153062,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:58:30",950,897,0,22,31,673,620,0,22,31,660,13,1015,342,36,151,469,4
36,TELEORMAN,"ȘCOALA GIMNAZIALĂ GRATIA",183,GRATIA,153062,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:54:17",1076,1015,0,34,27,721,660,0,34,27,696,25,1150,429,7,125,541,23
