precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHIPIRLIN MARIANA-PARTIDUL SOCIAL DEMOCRAT-voturi","LĂZĂROIU MARIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
17,DOLJ,"ŞCOALA PRIMARĂ CL. I-IV",433,PERIŞOR,73594,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:24",244,224,0,15,5,165,145,0,15,5,158,7,300,135,89,69
17,DOLJ,"ŞCOALA PRIMARĂ(LOCAL VECHI)",432,PERIŞOR,73594,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:04:59",1209,1072,2,74,61,919,782,2,74,61,880,39,1179,260,452,428
