precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
34,SIBIU,"CĂMIN CULTURAL ACILIU",205,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 00:46:57",195,178,0,17,0,112,95,0,17,0,111,1,200,88,39,67,5
34,SIBIU,"CĂMIN CULTURAL FÂNTÂNELE",207,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:03:48",182,167,4,9,2,83,71,1,9,2,78,5,179,96,34,40,4
34,SIBIU,"CENTRU DE DOCUMENTARE ȘI INFORMARE SIBIEL",211,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:55:57",381,368,0,10,3,227,214,0,10,3,220,7,400,173,50,137,33
34,SIBIU,"CLĂDIREA FOSTEI PRIMĂRII",212,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:35:35",326,302,4,12,8,213,193,0,12,8,204,9,340,127,62,129,13
34,SIBIU,"LICEUL TEHNOLOGIC ”IOAN LUPAȘ”",204,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 06:48:16",1248,1171,2,18,57,824,749,0,18,57,815,9,1300,476,280,503,32
34,SIBIU,"LICEUL TEHNOLOGIC ”IOAN LUPAȘ”",203,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:29:30",1260,1234,3,19,4,749,723,3,19,4,734,15,1350,601,266,431,37
34,SIBIU,"MUZEUL ETNOGRAFIC ”MARIA COSTACHESCU",208,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:57:07",174,169,0,3,2,174,169,0,3,2,170,4,300,126,61,95,14
34,SIBIU,"ŞCOALA GENERALĂ SĂCEL",210,"ORAŞ SĂLIŞTE",145499,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 04:10:04",459,455,1,3,0,263,260,0,3,0,252,11,500,200,67,168,17
34,SIBIU,"ŞCOALA PRIMARĂ AMNAŞ",206,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:04:28",371,353,3,12,3,177,161,2,12,2,174,3,400,223,49,115,10
34,SIBIU,"ŞCOALA PRIMARĂ MAG",209,"ORAŞ SĂLIŞTE",145499,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:33:30",425,412,0,13,0,258,245,0,13,0,223,35,460,202,104,86,33
