precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","PARTIDUL PATRIOȚILOR-voturi"
35,SUCEAVA,"AGENTIA PENTRU PROTECTIA MEDIULUI",34,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 14:30:21",1920,1902,1,17,0,947,930,0,17,0,830,17,2100,1153,247,332,90,20,111,14,16
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL",248,CACICA,147526,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 07:33:11",1527,1510,1,2,14,910,894,0,2,14,859,51,1700,790,364,394,41,17,35,4,4
35,SUCEAVA,"AȘEZĂMÂNT CULTURAL BASARABI",436,PREUTEŞTI,149968,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:49:33",1392,1386,0,6,0,892,886,0,6,0,872,20,1500,608,434,320,36,10,65,7,0
35,SUCEAVA,"ATELIER ZONĂ CFR",43,"MUNICIPIUL SUCEAVA",146263,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:47:35",1549,1537,0,12,0,432,420,0,12,0,417,15,1700,1268,120,136,56,26,61,9,9
35,SUCEAVA,"ATENEU DUMBRAVENI",296,DUMBRĂVENI,148426,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:37:56",1822,1814,1,5,2,836,829,0,5,2,813,23,2000,1164,96,570,86,26,18,4,13
35,SUCEAVA,"CAMIN CULTURAL",484,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:22:22",194,186,0,8,0,125,117,0,8,0,118,7,200,75,33,47,16,5,15,1,1
35,SUCEAVA,"CAMIN CULTURAL",454,"SATU MARE",150196,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:05:42",1188,1181,0,4,3,645,638,0,4,3,620,25,1300,655,227,202,113,31,39,2,6
35,SUCEAVA,"CĂMIN CULTURAL",256,CÂRLIBABA,147713,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:12:34",1615,1578,1,3,33,891,854,1,3,33,853,19,1735,863,513,226,54,21,32,4,3
35,SUCEAVA,"CĂMIN CULTURAL",487,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 11:11:19",1732,1720,4,8,0,973,965,0,8,0,923,50,1885,912,208,499,70,23,96,19,8
35,SUCEAVA,"CĂMIN CULTURAL",486,ŞCHEIA,146432,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:59:28",1725,1717,0,8,0,895,887,0,8,0,857,38,1890,990,206,386,85,25,125,20,10
