precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"LUPŞE SORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ONCIU RODICA - AURELIA-PARTIDUL NAȚIONAL LIBERAL-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",280,CICÂRLĂU,107662,3,PART,PRCNCT,P,P_SV,"2024-06-14 11:55:52",1164,1137,1,26,0,616,590,0,26,0,598,18,1300,684,499,99
26,MARAMUREŞ,"CĂMIN CULTURAL",277,CICÂRLĂU,107662,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:10:07",1928,1907,2,13,6,922,903,0,13,6,903,19,2080,1158,545,358
26,MARAMUREŞ,"CĂMIN CULTURAL",279,CICÂRLĂU,107662,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:33:32",396,386,1,9,0,214,205,0,9,0,208,6,400,186,198,10
26,MARAMUREŞ,"CLĂDIRE ADMINISTRATIVĂ",278,CICÂRLĂU,107662,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:39:41",271,257,1,8,5,163,150,0,8,5,155,8,300,137,103,52
