precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TUDORAŞCU GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","ONCICĂ IONUŢ-CLAUDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MĂCEŞANU ALEXANDRU-PARTIDUL NAȚIONAL LIBERAL-voturi"
30,OLT,"GRADINITA CU PROGRAM NORMAL FRASINETU",184,DOBROSLOVENI,126718,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:05:45",380,363,2,8,7,246,229,2,8,7,238,8,408,162,114,72,52
30,OLT,"GRADINITA CU PROGRAM NORMAL POTOPINU",185,DOBROSLOVENI,126718,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:57:11",540,534,0,3,3,293,287,0,3,3,282,11,590,297,101,145,36
30,OLT,"SCOALA CU CLASELE I-VIII RESCA",186,DOBROSLOVENI,126718,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:47:18",965,956,0,5,4,511,502,0,5,4,479,32,1058,547,288,122,69
30,OLT,"SCOALA GIMNAZIALA DOBROSLOVENI",183,DOBROSLOVENI,126718,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:07:26",1094,1076,0,8,10,694,676,0,8,10,678,16,1199,505,360,191,127
