precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DOACĂ AUREL-PARTIDUL SOCIAL DEMOCRAT-voturi","SPATARIU MANUELA-PARTIDUL NAȚIONAL LIBERAL-voturi"
24,IAŞI,"ȘCOALA GIMNAZIALA NR. 1 COSTEȘTI-CORP A",397,COSTEŞTI,100282,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:37",1066,1047,1,6,12,645,626,1,6,12,626,18,1100,456,519,107
24,IAŞI,"ȘCOALA PRIMARA GIURGESTI",398,COSTEŞTI,100282,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:50:58",398,388,0,8,2,227,217,0,8,2,215,12,469,242,183,32
