precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GORCEA MIHAIU LIVIU-PARTIDUL SOCIAL DEMOCRAT-voturi","CIOARA CRISTIAN-NICOLAE-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BANCIU MARIUS-ALIN-PARTIDUL NAȚIONAL LIBERAL-voturi","STANA GHEORGHE-DORIN-voturi","OPREAN BENIAMIN-ANDREI-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL RIȘCA",256,"BAIA DE CRIŞ",87745,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:14:15",177,167,0,8,2,133,123,0,8,2,131,2,187,54,18,28,15,69,1
22,HUNEDOARA,"ȘCOALA GENERALĂ CĂRĂSTĂU",254,"BAIA DE CRIŞ",87745,1,PART,PRCNCT,P,P_SV,"2024-06-10 00:36:47",151,145,0,6,0,93,87,0,6,0,93,0,164,71,58,12,16,6,1
22,HUNEDOARA,"ȘCOALA GENERALĂ LUNCA",255,"BAIA DE CRIŞ",87745,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:01:38",224,214,0,7,3,138,128,0,7,3,135,3,243,105,45,32,50,6,2
22,HUNEDOARA,"ŞCOALA GIMNAZIALĂ ”AVRAM IANCU” BAIA DE CRIŞ",253,"BAIA DE CRIŞ",87745,1,PROV,PRCNCT,P,P_SV,"2024-06-10 01:56:02",584,574,3,5,2,361,353,1,5,2,346,8,638,276,128,39,154,17,8
22,HUNEDOARA,"ȘCOALA PRIMARĂ RIȘCULIȚA",257,"BAIA DE CRIŞ",87745,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:20",378,347,3,9,19,248,221,0,8,19,238,10,404,156,154,9,68,5,2
22,HUNEDOARA,"ȘCOALA PRIMARĂ ȚEBEA",258,"BAIA DE CRIŞ",87745,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:52:14",554,535,0,8,11,335,316,0,8,11,322,13,587,252,229,10,69,11,3
