precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"PRIMĂRIA COMUNEI FRUMOASA",146,FRUMOASA,84415,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:07",1566,1518,2,25,21,815,790,0,4,21,785,30,1600,755,640,145
21,HARGHITA,"ȘCOALA GIMNAZIALĂ BÎRZAVA",147,FRUMOASA,84415,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:50:50",542,535,0,1,6,328,321,0,1,6,321,6,690,363,292,29
21,HARGHITA,"ȘCOALA PRIMARĂ",148,FRUMOASA,84415,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:17:14",909,906,0,0,3,503,500,0,0,3,486,17,1000,497,384,102
