precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi"
14,CONSTANŢA,"CAMIN CULTURAL LIPNITA",468,LIPNIŢA,62057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:21:47",426,417,0,2,7,426,417,0,2,7,412,14,811,385,16,188,197,11
14,CONSTANŢA,"CĂMINUL CULTURAL CANLIA",469,LIPNIŢA,62057,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:07",399,395,0,4,0,218,214,0,4,0,214,4,436,218,25,86,97,6
14,CONSTANŢA,"ȘCOALA GENERALĂ CU CLASELE I - IV CUIUGIUC",472,LIPNIŢA,62057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:17:27",143,137,0,6,0,79,73,0,6,0,78,1,150,71,2,35,40,1
14,CONSTANŢA,"ȘCOALA GENERALĂ CU CLASELE I - IV GORUNI",473,LIPNIŢA,62057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:20:35",83,74,0,9,0,53,44,0,9,0,52,1,81,28,1,35,14,2
14,CONSTANŢA,"ȘCOALA GENERALĂ CU CLASELE I - IV IZVOARELE",474,LIPNIŢA,62057,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:26:01",84,81,0,3,0,51,48,0,3,0,49,2,89,30,5,19,25,0
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.2 CARVĂN",470,LIPNIŢA,62057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:04:47",339,338,0,1,0,158,157,0,1,0,154,4,374,216,8,99,46,1
14,CONSTANŢA,"ȘCOALA GIMNAZIALĂ NR.3 COSLUGEA",471,LIPNIŢA,62057,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:23:10",570,569,0,1,0,270,269,0,1,0,257,13,626,356,13,105,126,13
