precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASLUIANU ANDREEA-MARIANA-UNIUNEA SALVAȚI ROMÂNIA-voturi","CHIRVASE ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BÎRSAN CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","CISMARU DANIEL-PARTIDUL PRO ROMÂNIA-voturi","MORARU VASILE-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
39,VASLUI,"CĂMINUL CULTURAL BOGDĂNEŞTI",222,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:13:44",799,771,1,5,22,466,438,1,5,22,449,17,800,334,368,26,49,4,2
39,VASLUI,"ŞCOALA GIMNAZIALĂ, SAT UNȚEȘTI",226,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:04:11",790,774,0,7,9,463,447,0,7,9,439,24,800,337,232,9,161,23,14
39,VASLUI,"ŞCOALA PRIMARA, SAT BUDA",223,BOGDĂNEŞTI,162693,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:39:36",268,254,0,5,9,162,148,0,5,9,158,4,300,138,140,3,15,0,0
39,VASLUI,"ŞCOALA PRIMARĂ, SAT HOROIATA",224,BOGDĂNEŞTI,162693,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:55:17",143,135,0,8,0,93,85,0,8,0,93,0,200,107,68,5,19,0,1
39,VASLUI,"ŞCOALA PRIMARĂ, SAT ULEA",225,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:46:25",175,154,0,13,8,175,154,0,13,8,173,2,300,125,114,15,44,0,0
39,VASLUI,"ŞCOALA PRIMARĂ, SAT VIȘINARI",227,BOGDĂNEŞTI,162693,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:44:30",171,157,0,11,3,83,69,0,11,3,80,0,210,130,61,3,14,2,0
