precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CREŢU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","ALECU VASILE-PARTIDUL SOCIAL DEMOCRAT-voturi"
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU ALDEA VOIEVOD” - CORP A (ȘCOALA NOUĂ)",93,ALEXENI,100852,2,PART,PRCNCT,P,P_SV,"2024-06-13 12:33:20",871,798,1,28,44,609,537,0,28,44,596,13,929,320,337,259
23,IALOMIŢA,"ŞCOALA GIMNAZIALĂ ”ALEXANDRU ALDEA VOIEVOD” - CORP A (ȘCOALA NOUĂ)",94,ALEXENI,100852,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:39:45",1032,952,0,25,55,739,659,0,25,55,726,13,1100,361,336,390
