precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IONAŞCU GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","RUS LUCIAN-IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","OANCEA NICOLAE-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","AMITITELOAIE ALIN-FORȚA DREPTEI-voturi","GAVRILĂ ANAMARIA-PARTIDUL OAMENILOR TINERI-voturi","MARA LUCIAN-MARIUS-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","MUNTEAN CONSTANTIN-DANIEL-PARTIDUL NAȚIONAL CONSERVATOR ROMÂN-voturi"
22,HUNEDOARA,"ADĂPOSTUL DE URGENŢĂ PE TIMP DE NOAPTE",43,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:10:06",882,873,3,4,2,450,444,0,4,2,417,25,1000,558,44,191,90,22,42,24,4
22,HUNEDOARA,"CĂMINUL CULTURAL SÎNTUHALM",46,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:46:26",661,646,0,9,6,318,303,0,9,6,313,5,907,589,28,109,86,27,46,14,3
22,HUNEDOARA,"CANTINA DE AJUTOR SOCIAL (FOSTA CANTINA LICEU MINER)",44,"MUNICIPIUL DEVA",86687,3,PART,PRCNCT,P,P_SV,"2024-06-10 08:15:51",1012,995,2,12,3,440,425,0,12,3,421,19,1100,660,35,152,97,25,79,23,10
22,HUNEDOARA,"CASA MAGHIARĂ DEVA ( FOSTA CASA ARMATEI)",32,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:43:35",1116,1096,10,8,2,550,539,1,8,2,536,14,1200,650,28,185,188,45,61,25,4
22,HUNEDOARA,"CASA MAGHIARĂ DEVA (FOSTA CASA ARMATEI)",33,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:56:23",1249,1219,16,14,0,631,617,0,14,0,614,17,1400,769,37,229,162,68,74,37,7
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",1,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 14:50:48",1681,1665,0,16,0,782,766,0,16,0,757,25,1800,1018,39,264,231,65,84,58,16
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",2,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 08:32:55",1109,1097,0,12,0,498,486,0,12,0,485,10,1200,693,36,206,110,29,64,32,8
22,HUNEDOARA,"CENTRUL CULTURAL DRĂGAN MUNTEAN",3,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:38:48",1404,1385,12,7,0,643,636,0,7,0,629,14,1600,957,40,266,138,59,83,39,4
22,HUNEDOARA,"CLUB ŞCOLAR SPORTIV",31,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:11:14",1270,1254,6,10,0,585,575,0,10,0,566,19,1300,715,30,215,123,65,103,26,4
22,HUNEDOARA,"COLEGIUL NAŢIONAL ”DECEBAL”",17,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:50:10",1133,1113,7,11,2,531,518,0,11,2,514,17,1200,669,29,207,152,34,56,28,8
22,HUNEDOARA,"COLEGIUL NAȚIONAL PEDAGOGIC”REGINA MARIA”",13,"MUNICIPIUL DEVA",86687,2,PART,PRCNCT,P,P_SV,"2024-06-10 09:44:30",1183,1144,21,17,1,567,548,1,17,1,550,14,1300,705,36,211,145,54,61,34,9
22,HUNEDOARA,"COLEGIUL NAȚIONAL SPORTIV CETATE DEVA",18,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:31:08",1365,1353,2,10,0,714,702,2,10,0,690,24,1500,786,43,275,191,62,66,36,17
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",36,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:47",1296,1287,0,9,0,460,451,0,9,0,443,15,1400,940,56,161,96,26,81,16,7
22,HUNEDOARA,"COLEGIUL TEHNIC ENERGETIC DRAGOMIR HURMUZESCU (FOSTA ŞCOALĂ GENERALĂ ”OCTAVIAN GOGA”)",35,"MUNICIPIUL DEVA",86687,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:53",1861,1841,6,7,7,759,745,0,7,7,722,37,1900,1141,64,282,168,51,110,29,18
