precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"VASILACHE NICUŞOR-PARTIDUL NAȚIONAL LIBERAL-voturi","RĂILEANU ADRIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂCANU SANDU-PARTIDUL SOCIAL DEMOCRAT-voturi","DINU CRISTIAN-MARIAN-PARTIDUL S.O.S. ROMÂNIA-voturi"
9,BRĂILA,"GRĂDINIȚA CU PROGRAM NORMAL SIHLEANU",232,"SCORŢARU NOU",43929,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:06",371,366,1,2,2,240,236,0,2,2,220,17,400,163,153,14,45,8
9,BRĂILA,"ȘCOALA GIMNAZIALĂ SCORȚARU NOU",231,"SCORŢARU NOU",43929,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:30:28",639,628,3,3,5,388,380,0,3,5,370,18,709,321,224,41,95,10
