precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA CONSTANTIN-PARTIDUL SOCIAL DEMOCRAT-voturi","ICHIM CARMEN-ADRIANA-PARTIDUL NAȚIONAL LIBERAL-voturi","STÎLPEANU LAURENŢIU-PARTIDUL S.O.S. ROMÂNIA-voturi","EPURESCU NICOLAE-GEORGE-PARTIDUL DEMOCRAȚIEI ȘI SOLIDARITAȚII-DEMOS-voturi","BARCHIZEANU DĂNUŢ-VIOREL-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","DRĂGULIN FLORIN-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","CRĂIŢĂ HARITINA-voturi"
10,BUZĂU,"COLEGIUL ECONOMIC ”REGELE MIHAI I”",57,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 04:21:19",1052,1042,5,5,0,443,438,0,5,0,436,7,1100,657,268,58,15,19,5,53,18
10,BUZĂU,"COLEGIUL NAȚIONAL ”B. P. HASDEU”",34,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:20:37",1347,1338,4,0,5,608,599,4,0,5,584,24,1500,892,347,82,21,25,3,76,30
10,BUZĂU,"COLEGIUL NAȚIONAL ”MIHAI EMINESCU”",75,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:54:59",1742,1733,0,9,0,567,558,0,9,0,537,30,1900,1333,274,136,58,13,8,32,16
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",47,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:25:17",1535,1522,2,11,0,617,606,0,11,0,605,12,1700,1083,349,101,13,17,10,87,28
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",49,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:21:19",1227,1217,3,7,0,494,487,0,7,0,478,16,1400,906,341,46,6,22,5,44,14
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",48,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:29:29",1114,1110,2,2,0,495,493,0,2,0,481,14,1200,705,303,51,13,15,5,62,32
10,BUZĂU,"COLEGIUL NAȚIONAL PEDAGOGIC ”SPIRU HARET”",50,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:44:49",1544,1535,1,8,0,641,633,0,8,0,632,9,1700,1059,416,89,14,24,6,55,28
10,BUZĂU,"COLEGIUL UNIVERSITAR ECONOMIC",13,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:54:24",1555,1553,1,1,0,676,675,0,1,0,665,11,1800,1124,461,94,15,12,4,54,25
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT ”BOBOCEII DIN MICRO III”",72,"MUNICIPIUL BUZĂU",44818,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:36:25",1324,1316,0,8,0,574,566,0,8,0,565,9,1400,826,377,77,13,16,1,51,30
10,BUZĂU,"GRĂDINIŢA CU PROGRAM PRELUNGIT NR. 1",51,"MUNICIPIUL BUZĂU",44818,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:48:33",1416,1413,3,0,0,759,759,0,0,0,752,7,1500,741,472,136,8,22,5,91,18
