precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL VERDE-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi"
24,IAŞI,"GRADINITA CU PROGRAM NORMAL PODOLENII DE SUS",415,COZMEŞTI,96593,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:00:05",1210,1198,0,0,12,415,403,0,0,12,401,14,1200,785,80,124,144,14,15,22,2
24,IAŞI,"GRUP ŞCOLAR COZMESTI",413,COZMEŞTI,96593,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:58:39",1878,1826,0,33,19,686,634,0,33,19,639,47,1800,1114,83,295,221,20,9,8,3
24,IAŞI,"SCOALA PODOLENII DE JOS",414,COZMEŞTI,96593,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:22",327,318,0,2,7,155,146,0,2,7,148,7,335,180,23,39,46,5,22,7,6
