precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GRUICI BOGDAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","SPERLEA ALINA-ELENA-PARTIDUL SOCIAL DEMOCRAT-voturi","BUGARIN HORIA-GRIGORE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","VLĂDESCU RADU-GEORGE-PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","RUSU CRISTIAN-ALIN-voturi"
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",388,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:12:40",1647,1552,72,22,1,855,830,2,22,1,839,15,1700,846,33,244,408,65,89
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",390,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:41:19",1633,1589,13,29,2,1011,979,1,29,2,997,11,1802,794,31,275,518,88,85
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",387,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:05:13",1713,1618,60,34,1,973,938,0,34,1,965,8,1800,827,16,276,456,107,110
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",391,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,P,P_SV,"2024-06-10 07:30:56",1750,1689,33,23,5,938,910,0,23,5,921,17,1794,856,30,323,393,81,94
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",389,DUMBRĂVIŢA,155261,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:51:25",1723,1680,28,15,0,958,943,0,15,0,943,15,1800,842,21,292,424,86,120
37,TIMIŞ,"ŞCOALA GIMNAZIALĂ DUMBRĂVIŢA",396,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:55:14",1726,1682,24,17,3,857,837,0,17,3,845,12,1950,1093,26,259,381,88,91
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIŢA",392,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-11 20:43:18",1737,1693,14,26,4,973,941,2,26,4,946,27,1800,827,34,345,367,80,120
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIŢA",393,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:41:31",1663,1600,32,30,1,1025,995,0,30,0,972,53,1800,775,34,313,425,90,110
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA",394,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:19:56",1767,1675,68,19,5,834,807,3,19,5,823,11,1900,1066,21,227,329,112,134
37,TIMIŞ,"ȘCOALA GIMNAZIALĂ DUMBRĂVIȚA",395,DUMBRĂVIŢA,155261,1,PART,PRCNCT,P,P_SV,"2024-06-11 19:29:11",1799,1722,27,28,22,1063,1010,3,28,22,1053,10,1900,837,29,320,448,114,142
