precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BIMBIRICĂ ALIN-FLORENTIN-PARTIDUL NAȚIONAL LIBERAL-voturi","STANCIU MARIUS-PARTIDUL SOCIAL DEMOCRAT-voturi","ŞTEFAN VICTOR-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","CERNEA VALERICĂ-UNIUNEA SALVAȚI ROMÂNIA-voturi","BĂLŢĂŢEANU AUREL-FORȚA DREPTEI-voturi"
36,TELEORMAN,"GRĂDİNİŢA CU PROGRAM NORMAL NR.2",166,"DRĂGĂNEŞTI DE VEDE",152868,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:19:26",536,507,0,9,20,368,339,0,9,20,364,4,580,212,152,177,1,27,7
36,TELEORMAN,"ŞCOALA GİMNAZİALĂ DRĂGĂNEŞTİ DE VEDE",165,"DRĂGĂNEŞTI DE VEDE",152868,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:54:09",1168,1088,0,34,46,814,734,0,34,46,802,12,1191,377,322,419,8,9,44
