precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ASOCIAȚIA PARTIDA ROMILOR ""PRO-EUROPA""-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","RAFAIN ENDRE-voturi"
21,HARGHITA,"CĂMINUL CULTURAL",276,TUŞNAD,86188,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:51:58",861,841,1,4,15,462,443,0,4,15,434,28,900,438,384,24,14,12
21,HARGHITA,"CĂMINUL CULTURAL",277,TUŞNAD,86188,1,PART,PRCNCT,CL,CL_SV,"2024-06-09 23:50:03",165,156,0,4,5,122,113,0,4,5,112,10,200,78,104,0,4,4
21,HARGHITA,"CĂMINUL CULTURAL TUȘNAD",275,TUŞNAD,86188,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:40:04",733,711,1,4,17,393,372,0,4,17,357,36,800,407,319,7,16,15
