precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DULEANŢ IONEL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","BARTHA ADRIAN-OVIDIU-PARTIDUL SOCIAL DEMOCRAT-voturi","MARIŞ CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL BURJUC",330,BURJUC,89080,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:27:57",137,122,1,12,2,101,87,0,12,2,101,0,131,30,18,70,13
22,HUNEDOARA,"CĂMINUL CULTURAL TĂTĂRĂŞTI",333,BURJUC,89080,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:58:51",163,147,0,13,3,97,81,0,13,3,96,1,155,58,13,71,12
22,HUNEDOARA,"CĂMINUL CULTURAL TISA",334,BURJUC,89080,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:54:30",121,93,0,26,2,79,51,0,26,2,76,3,106,27,8,19,49
22,HUNEDOARA,"ŞCOALA PRIMARĂ BRĂDĂŢEL",331,BURJUC,89080,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:39:10",112,103,0,9,0,75,66,0,9,0,74,1,108,33,9,62,3
22,HUNEDOARA,"ŞCOALA PRIMARĂ GLODGHILEŞTI",332,BURJUC,89080,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:47:45",181,171,0,7,3,122,112,0,7,3,119,3,189,67,11,98,10
