precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi","PARTIDUL ROMÂNIA MARE-voturi","PARTIDUL MIȘCAREA POPULARĂ-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",233,"BĂIŢA DE SUB CODRU",107118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:06:00",285,252,0,29,4,235,202,0,29,4,213,18,316,81,10,4,32,51,7,5,10,47,47
26,MARAMUREŞ,"CĂMINUL CULTURAL",232,"BĂIŢA DE SUB CODRU",107118,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:36:01",1311,1196,0,92,23,1004,889,0,92,23,957,47,1307,303,328,38,335,61,16,69,42,13,55
