precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ENEA-BIZĂU ANUŢA-PARTIDUL NAȚIONAL LIBERAL-voturi","DEAC IOAN-PARTIDUL SOCIAL DEMOCRAT-voturi","DEAC CĂTĂLINA-ANIŞOARA-voturi"
26,MARAMUREŞ,"CĂMIN CULTURAL",256,"BOGDAN VODĂ",107403,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:41:17",537,494,0,16,27,260,217,0,16,27,245,15,551,291,198,30,17
26,MARAMUREŞ,GRĂDINIȚĂ,255,"BOGDAN VODĂ",107403,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:38:51",1936,1837,1,24,74,1116,1017,1,24,74,1087,29,2100,983,631,212,244
