precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MUREŞAN CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","DUMITREL ION-PARTIDUL NAȚIONAL LIBERAL-voturi","OLAR CORNELIU-DAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHINESCU ION-PARTIDUL S.O.S. ROMÂNIA-voturi","ROF MARIUS-NICOLAE-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","TALPAŞ CONSTANTIN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
1,ALBA,"AŞEZĂMÂNTUL SOCIAL - GRĂDINIŢA ”SFÂNTA IRINA”",79,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:16:33",1135,1131,0,4,0,548,544,0,4,0,542,6,1300,752,81,375,33,10,39,4
1,ALBA,"ASOCIAŢIA JUDEŢEANĂ A VÂNĂTORILOR SI PESCARILOR SPORTIVI ALBA - CLUBUL BLAJ",84,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:28:04",324,320,0,3,1,172,168,0,3,1,170,2,400,228,19,127,8,8,6,2
1,ALBA,"BAZA DE AGREMENT A MUNICIPIULUI BLAJ",78,"MUNICIPIUL BLAJ",1348,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 05:28:44",728,716,0,9,3,341,329,0,9,3,329,12,800,459,34,225,37,20,5,8
1,ALBA,"BAZIN OLIMPIC",31,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 08:09:26",1253,1242,2,9,0,458,449,0,9,0,444,14,1400,942,91,205,70,21,49,8
1,ALBA,"BAZIN OLIMPIC",30,"MUNICIPIUL ALBA IULIA",1017,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:22:40",1087,1078,0,8,1,437,428,0,8,1,423,14,1100,663,105,193,62,13,43,7
1,ALBA,"BIBLIOTECA COMUNALĂ",240,CRICĂU,4142,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:44:18",1057,995,1,25,36,790,729,0,25,36,776,14,1139,349,188,528,31,15,11,3
1,ALBA,"CĂMIN CULTURAL",225,"CETATEA DE BALTĂ",3958,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-11 12:08:47",590,574,0,4,12,247,231,0,4,12,232,15,633,386,44,150,28,5,4,1
1,ALBA,"CĂMIN CULTURAL",226,"CETATEA DE BALTĂ",3958,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:15:06",870,829,1,8,32,503,463,0,8,32,470,33,953,450,63,284,75,27,15,6
1,ALBA,"CĂMIN CULTURAL",250,FĂRĂU,4302,2,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:14:31",145,137,2,5,1,111,104,1,5,1,100,11,150,39,10,86,4,0,0,0
1,ALBA,"CĂMIN CULTURAL ASINIP",297,"LOPADEA NOUĂ",5210,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 01:40:55",78,70,0,8,0,52,44,0,8,0,51,1,79,27,14,32,2,2,1,0
