precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DORVOŞ VINCENŢIU-FLORIN-PARTIDUL NAȚIONAL LIBERAL-voturi","ALEXE CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHIŢĂ MARIUS-GABRIEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL BAHNA",503,PÂRGĂREŞTI,24276,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:58:58",476,469,0,7,0,476,469,0,7,0,174,17,500,309,27,76,71
4,BACĂU,"GRĂDINIŢA CU PROGRAM NORMAL SATUL PÎRÎU BOGHII",505,PÂRGĂREŞTI,24276,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:31:52",356,348,0,6,2,187,179,0,6,2,175,12,404,217,31,68,76
4,BACĂU,"ŞCOALA GIMNAZIALĂ CONSTANTIN MUŞAT SATUL NICOREŞTI",504,PÂRGĂREŞTI,24276,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:34:08",815,811,0,4,0,291,287,0,4,0,280,11,900,609,75,166,39
4,BACĂU,"ŞCOALA GIMNAZIALĂ DUMITRU MĂRTINAŞ SATUL PÎRGĂREŞTI",502,PÂRGĂREŞTI,24276,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:32:46",783,780,0,3,0,297,294,0,3,0,286,11,896,599,120,76,90
4,BACĂU,"ŞCOALA GIMNAZIALĂ VASILE GH.RADUSATUL SATU NOU",506,PÂRGĂREŞTI,24276,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:25:27",1339,1330,1,6,2,501,493,0,6,2,469,32,1400,899,131,211,127
