precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ROMÂNIA ÎN ACȚIUNE-voturi","FORȚA DREPTEI-voturi"
31,PRAHOVA,"CĂMIN CULTURAL",381,"COCORĂŞTII MISLII",132716,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:22:11",1525,1505,1,5,14,1069,1050,0,5,14,1042,27,1656,587,288,23,602,100,29
31,PRAHOVA,"CĂMIN CULTURAL",382,"COCORĂŞTII MISLII",132716,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:24:05",1232,1183,0,35,14,840,791,0,35,14,799,23,1300,478,293,55,399,34,18
