precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PURCARU GABRIEL-PARTIDUL SOCIAL DEMOCRAT-voturi","BEJAN RĂZVAN-DUMITRU-PARTIDUL NAȚIONAL LIBERAL-voturi","STATE TUDORICĂ-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BĂICOIANU CIPRIAN-MIHAIL-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
16,DÂMBOVIŢA,"CLUB CRISTIAN ( UZINA AUTOMECANICĂ MORENI )",67,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:27:07",662,656,1,5,0,330,325,0,5,0,323,7,720,390,202,59,14,48
16,DÂMBOVIŢA,"CLUB FLACĂRA NR.2",70,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:59:36",786,780,0,6,0,407,401,0,6,0,396,11,850,443,200,51,21,124
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.2",69,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 09:10:27",715,706,0,8,1,372,363,0,8,1,358,14,780,408,181,60,29,88
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL NR.7 ŢUICANI",68,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:35:50",371,365,1,3,2,173,168,0,3,2,171,2,400,227,101,21,9,40
16,DÂMBOVIŢA,"GRĂDINIŢA CU PROGRAM NORMAL TISA",71,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:43:31",526,517,0,8,1,318,309,0,8,1,307,11,570,252,134,91,15,67
16,DÂMBOVIŢA,"LICEUL TEHNOLOGIC DE PETROL",85,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:12:46",1387,1374,1,9,3,646,634,0,9,3,630,16,1510,864,252,124,40,214
16,DÂMBOVIŢA,"LICEUL TEORETIC ”ION LUCA CARAGIALE”",84,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:56:29",679,662,4,11,2,320,307,0,11,2,302,17,730,410,152,45,15,90
16,DÂMBOVIŢA,"SALA DE SPORT",82,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:00:32",699,686,0,11,2,338,325,0,11,2,333,5,760,422,168,66,16,83
16,DÂMBOVIŢA,"SALA DE SPORT",83,"MUNICIPIUL MORENI",65841,1,PROV,PRCNCT,P,P_SV,"2024-06-10 06:13:35",635,632,0,3,0,322,319,0,3,0,316,6,700,378,148,39,105,24
16,DÂMBOVIŢA,"ŞCOALA GIMNAZIALĂ NR.2",66,"MUNICIPIUL MORENI",65841,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:26:28",1045,1035,1,7,2,510,500,1,7,2,492,18,1147,637,296,78,36,82
