precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"STOICAN GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","CÎRSTESCU GHEORGHE-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","OBROCEA ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","DICĂ NICOLAE-GABRIEL-voturi"
3,ARGEŞ,"CĂMINUL CULTURAL AREFU",203,AREFU,14049,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:34:18",983,974,1,5,3,626,618,0,5,3,615,11,1016,390,404,32,103,76
3,ARGEŞ,"ŞCOALA GIMNAZIALĂ GEORGE STEPHĂNESCU",202,AREFU,14049,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:24:31",871,859,1,3,8,559,549,0,3,7,543,16,1003,444,271,24,179,69
