precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi"
23,IALOMIŢA,"ŞCOALA GENERALA LUCIU",160,"GURA IALOMIŢEI",180046,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:48:13",1065,1061,2,2,0,678,675,1,2,0,656,22,1104,426,175,232,233,0,16
23,IALOMIŢA,"SCOALA GIMNAZIALA CONSTANTIN GURGU NR. 1",159,"GURA IALOMIŢEI",180046,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:50:27",951,945,0,4,2,657,651,0,4,2,634,23,1060,403,262,97,193,64,18
