precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL PRO ROMÂNIA-voturi"
34,SIBIU,"CĂMINUL CULTURAL ALMA",219,ALMA,146012,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:23:51",665,637,4,9,15,475,448,3,9,15,461,14,700,225,133,66,193,62,7
34,SIBIU,"CĂMINUL CULTURAL GIACĂŞ",220,ALMA,146012,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:45:00",188,176,0,8,4,149,137,0,8,4,131,6,190,53,3,8,64,53,3
34,SIBIU,"CĂMINUL CULTURAL ŞMIG",221,ALMA,146012,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:30:51",738,715,0,4,19,590,567,0,4,19,569,21,787,197,89,21,17,367,75
