precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
26,MARAMUREŞ,"CASA DE CULTURĂ",158,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:36:48",1750,1711,7,5,27,856,824,0,5,27,818,38,2000,1144,549,156,48,65
26,MARAMUREŞ,"GRĂDINIȚA PROGRAM PRELUNGIT NR. 4",160,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:25:37",1911,1871,5,13,22,911,876,1,13,21,867,44,2067,1156,458,153,213,43
26,MARAMUREŞ,"SALA MULTIFUNCŢIONALĂ VIILE APEI",163,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:59:49",574,558,4,6,6,341,329,0,6,6,333,8,645,304,219,33,63,18
26,MARAMUREŞ,ŞCOALA,162,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:34:09",704,686,2,10,6,382,366,0,10,6,370,12,800,418,300,51,1,18
26,MARAMUREŞ,"ŞCOALA GENERALĂ NR. 1",159,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 05:03:04",1763,1715,6,17,25,916,874,0,17,25,855,61,2000,1084,585,140,72,58
26,MARAMUREŞ,"ŞCOALA MAGHIARĂ",161,"ORAŞ SEINI",108963,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:10:50",1317,1290,2,12,13,654,629,0,12,13,624,30,1288,634,401,115,80,28
