precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"UNIUNEA SALVAȚI ROMÂNIA-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,PRIMĂRIA,348,"OARŢA DE JOS",108366,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:27:10",371,332,0,24,15,240,201,0,24,15,234,6,400,160,40,138,44,12
26,MARAMUREŞ,"ȘCOALA GENERALĂ",349,"OARŢA DE JOS",108366,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 02:38:50",603,559,0,14,30,382,338,0,14,30,367,15,581,198,172,117,63,15
