precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"TOMA SERGIU-ADRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TULEA ELENA-DELIA-PARTIDUL NAȚIONAL LIBERAL-voturi","ILIONI-SĂVOIU GHEORGHE-PARTIDUL MIȘCAREA POPULARĂ-voturi","ANTON MANUELA-IONELA-FORȚA DREPTEI-voturi"
11,CARAŞ-SEVERIN,"GRĂDINIŢA CU PROGRAM NORMAL",309,"RUSCA MONTANĂ",53728,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:56:04",249,240,0,6,3,125,116,0,6,3,124,1,267,142,61,52,6,5
11,CARAŞ-SEVERIN,"ŞCOALA GIMNAZIALĂ ŞTEFAN VELOVAN",308,"RUSCA MONTANĂ",53728,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:11:58",1308,1258,1,21,28,796,746,1,21,28,786,10,1381,583,516,174,44,52
