precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PĂUN IONEL-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GHIŢĂ MIHAI-PARTIDUL NAȚIONAL LIBERAL-voturi","CAZACU MARINICĂ-voturi"
23,IALOMIŢA,"GRADINITA ION ROATA (LOCALUL VECHI COLINELE)",162,"ION ROATĂ",103862,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:56:12",755,743,2,8,2,442,432,0,8,2,420,22,820,378,40,61,319
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA",161,"ION ROATĂ",103862,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:24:18",868,856,0,8,4,502,490,0,8,4,486,16,936,433,67,93,326
23,IALOMIŢA,"ŞCOALA GIMNAZIALA ION ROATA(STRUCTURA BROSTENI)",163,"ION ROATĂ",103862,1,PROV,PRCNCT,P,P_SV,"2024-06-10 03:59:22",1178,1175,0,0,3,660,657,0,0,3,616,44,1300,640,102,37,477
