precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"MIH FLORE-ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BERINDE DUMITRU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","COVACI ION-PARTIDUL SOCIAL DEMOCRAT-voturi","POP IOAN-UNIUNEA SALVAȚI ROMÂNIA-voturi","PAŞCA GHEORGHE-PARTIDUL ECOLOGIST ROMÂN-voturi"
26,MARAMUREŞ,"CĂMINUL CULTURAL",393,SARASĂU,106620,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:47",1104,1097,2,2,3,597,592,0,2,3,576,20,1200,604,26,6,439,9,96
26,MARAMUREŞ,"CĂMINUL CULTURAL",392,SARASĂU,106620,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:07:31",1236,1223,2,0,11,680,667,2,0,11,667,12,1383,704,16,30,495,4,122
