precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NISTOR CORNELIU-PARTIDUL SOCIAL DEMOCRAT-voturi","VOICA ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi"
16,DÂMBOVIŢA,"ȘCOALA GIMNAZIALĂ „ NICOLAE VLAD „",351,PUCHENI,68565,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:57:51",1253,1188,0,49,16,987,923,0,49,15,975,12,1317,330,648,327
16,DÂMBOVIŢA,"SCOALA VALEA LARGA",352,PUCHENI,68565,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:29:52",209,193,0,12,4,147,131,0,12,4,144,3,220,73,120,24
