precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","BLOCUL SUVERANIST ROMÂN-voturi","PARTIDUL LIGA ACȚIUNII NAȚIONALE-voturi","PARTIDUL PRO ROMÂNIA-voturi","PARTIDUL ALTERNATIVA DREAPTĂ-voturi","PARTIDUL OAMENILOR TINERI-voturi","PARTIDUL OLTENILOR-voturi","PARTIDUL UMANIST SOCIAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL S.O.S. ROMÂNIA-voturi","PARTIDUL REÎNNOIM PROIECTUL EUROPEAN AL ROMÂNIEI-voturi","DAN AURELIAN-LEONARD-voturi"
17,DOLJ,"CASA DE CULTURA A STUDENŢILOR",2,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:43:41",1380,1326,44,10,0,519,508,1,10,0,500,19,1400,881,75,69,188,3,7,7,11,10,8,2,79,16,18,7
17,DOLJ,"COLEGIUL NAŢIONAL ”CAROL I”",61,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:40:53",854,830,16,8,0,409,401,0,8,0,391,18,1000,591,47,60,146,3,5,0,8,3,2,3,75,3,30,6
17,DOLJ,"COLEGIUL NAȚIONAL ”CAROL I”",62,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 09:34:54",1267,1238,20,9,0,459,450,0,9,0,445,14,1400,941,77,61,152,0,5,7,5,7,5,4,82,12,16,12
17,DOLJ,"COLEGIUL NAŢIONAL ECONOMIC ”GHEORGHE CHIŢU”",47,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 13:22:26",1505,1444,23,7,31,622,585,0,7,30,622,0,1600,978,73,92,260,3,3,3,5,7,3,5,119,22,15,12
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",46,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 14:21:19",1271,1229,1,8,33,478,441,0,8,29,459,19,1400,922,62,96,205,1,0,0,2,6,0,0,47,23,10,7
17,DOLJ,"COLEGIUL NAȚIONAL ECONOMIC ”GHEORGHE CHIȚU”",45,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 08:08:53",1321,1282,7,10,22,519,489,0,10,20,498,21,1500,981,60,75,239,3,2,2,5,6,1,3,68,20,13,1
17,DOLJ,"COLEGIUL NAŢIONAL ”ELENA CUZA”",1,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 09:26:55",1598,1564,22,12,0,468,456,0,12,0,449,19,1629,1161,77,66,151,1,10,1,3,7,3,0,86,9,25,10
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",53,"MUNICIPIUL CRAIOVA",69900,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 10:01:58",1635,1616,5,7,7,679,665,0,7,7,661,18,1900,1221,93,97,306,0,2,2,4,8,6,4,81,22,25,11
17,DOLJ,"COLEGIUL NATIONAL ”FRAŢII BUZEŞTI”",52,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 11:23:38",1778,1770,0,8,0,710,702,0,8,0,690,20,2000,1290,95,97,277,1,2,14,1,8,4,3,123,24,29,12
17,DOLJ,"COLEGIUL NAȚIONAL ”NICOLAE TITULESCU”",125,"MUNICIPIUL CRAIOVA",69900,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 06:18:34",1558,1526,21,11,0,693,682,0,11,0,676,17,1700,1007,88,103,294,2,2,4,4,2,4,9,110,19,26,9
