precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 1",181,MUNTENI-BUZĂU,94107,2,PART,PRCNCT,CL,CL_SV,"2024-06-13 21:22:16",1456,1434,0,11,11,879,857,0,11,11,854,25,1600,721,215,67,441,131
23,IALOMIŢA,"ŞCOALA GENERALĂ NR. 2",182,MUNTENI-BUZĂU,94107,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 16:02:41",1222,1204,1,7,10,662,645,0,7,10,630,32,1327,665,132,50,303,145
