precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CERNEA IULIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","STANCU MARIUS-PARTIDUL NAȚIONAL LIBERAL-voturi","PANĂ GINEL-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi"
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL VOIEVODA",179,FURCULEŞTI,152948,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:06:33",506,466,0,27,13,318,292,0,13,13,307,11,510,192,6,114,187
36,TELEORMAN,"ŞCOALA CU CLASELE I - VIII SPĂTĂREI",178,FURCULEŞTI,152948,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:43:32",772,716,0,31,25,560,504,0,31,25,543,17,820,260,13,370,160
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ FURCULEŞTI",177,FURCULEŞTI,152948,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:25:56",1387,1293,0,45,49,676,582,0,45,49,656,17,1467,794,8,227,421
