precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GIURGESCU IULIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BORNĂGEL GHEORGHE-NARCIS-PARTIDUL SOCIAL DEMOCRAT-voturi"
20,GORJ,"ŞCOALA GENERALĂ CU CLASELE V-VIII SAMARINEŞTI",287,SAMARINEŞTI,81656,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:58:42",1119,1057,0,39,23,816,754,0,39,23,812,4,1200,384,596,216
20,GORJ,"ŞCOALA PRIMARĂ LARGA",288,SAMARINEŞTI,81656,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:34:26",367,322,0,40,5,283,238,0,40,5,278,5,348,65,236,42
