precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CHEOSEAUA ION-PARTIDUL NAȚIONAL LIBERAL-voturi","PEŢA VIOREL-PARTIDUL SOCIAL DEMOCRAT-voturi","OLTEANU MIRCEA-voturi"
36,TELEORMAN,"CĂMIN CULTURAL CONŢEŞTI",144,CONŢEŞTI,152564,4,PART,PRCNCT,P,P_SV,"2024-06-11 17:24:45",1225,1156,0,11,58,802,733,0,11,58,788,14,1270,468,66,700,22
36,TELEORMAN,"GRĂDINIŢA CU PROGRAM NORMAL CONŢEŞTI",143,CONŢEŞTI,152564,2,PART,PRCNCT,P,P_SV,"2024-06-11 15:48:26",1379,1300,0,24,55,863,784,0,24,55,832,31,1431,568,60,735,37
