precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL ECOLOGIST ROMÂN-voturi"
4,BACĂU,"PRIMĂRIA BRUSTUROASA",284,BRUSTUROASA,21597,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:46:22",1231,1208,0,6,17,660,637,0,6,17,635,25,1300,640,185,233,191,26
4,BACĂU,"ŞCOALA PRIMARĂ CAMENCA",286,BRUSTUROASA,21597,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 07:07:01",462,445,0,4,13,462,445,0,4,13,433,25,800,342,121,90,203,19
4,BACĂU,"ŞCOALA PRIMARĂ CUCHINIŞ",285,BRUSTUROASA,21597,1,PROV,PRCNCT,CL,CL_SV,"2024-06-10 03:53:32",635,629,0,0,6,301,295,0,0,6,287,14,700,299,97,83,95,12
