precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BECU LAURENŢIU-UNIUNEA SALVAȚI ROMÂNIA-voturi","MARINESCU ANDREI-PARTIDUL NAȚIONAL LIBERAL-voturi","BECU MARIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","GIURCĂ AURICA-PARTIDUL SOCIAL DEMOCRAT-voturi"
17,DOLJ,"CĂMINUL CULTURAL MÂRZA",478,SĂLCUŢA,74028,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:10:46",440,431,0,9,0,165,156,0,9,0,158,7,500,335,10,25,3,120
17,DOLJ,"ŞCOALA VECHE SĂLCUŢA",477,SĂLCUŢA,74028,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:55:39",875,772,0,67,36,434,331,0,67,36,389,45,837,403,4,151,2,232
17,DOLJ,"ŞCOALA VECHE TENCĂNĂU",479,SĂLCUŢA,74028,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:14:06",295,237,1,52,5,211,153,1,52,5,197,14,300,89,0,70,2,125
