precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
22,HUNEDOARA,"CĂMINUL CULTURAL AUREL VLAICU",206,"ORAŞ GEOAGIU",89561,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:45:30",790,768,13,7,2,473,460,4,7,2,464,9,850,377,265,180,19
22,HUNEDOARA,"CĂMINUL CULTURAL BOZES",207,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:59:45",195,181,1,10,3,140,126,1,10,3,137,3,220,80,75,57,5
22,HUNEDOARA,"CĂMINUL CULTURAL HOMOROD",211,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:18:23",260,254,0,3,3,186,180,0,3,3,182,4,300,114,79,95,8
22,HUNEDOARA,"CĂMINUL CULTURAL RENGHET",212,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:13:33",168,157,0,9,2,124,113,0,9,2,119,5,200,76,68,44,7
22,HUNEDOARA,"GRĂDINIŢA CU PROGRAM NORMAL NR.1 GEOAGIU,",205,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 07:48:15",1250,1210,2,17,21,909,871,0,17,21,888,21,1300,391,561,302,25
22,HUNEDOARA,"ŞCOALA PRIMARĂ CIGMAU",208,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:19:53",89,75,3,10,1,56,45,0,10,1,54,2,100,44,27,24,3
22,HUNEDOARA,"ŞCOALA PRIMARĂ GELMAR",209,"ORAŞ GEOAGIU",89561,2,PART,PRCNCT,CL,CL_SV,"2024-06-12 01:07:57",381,361,3,8,9,268,250,1,8,9,262,5,400,133,91,157,14
22,HUNEDOARA,"SCOALA PRIMARA GEOAGIU BAI",210,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:03:26",375,356,1,11,7,243,225,0,11,7,241,2,400,157,140,70,31
22,HUNEDOARA,"ŞCOALA PRIMARĂ VĂLENI",213,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 00:09:45",51,40,0,8,3,33,22,0,8,3,33,0,82,49,12,17,4
22,HUNEDOARA,"SEDIUL PRIMARIEI GEOAGIU",204,"ORAŞ GEOAGIU",89561,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 04:32:19",1234,1185,5,12,32,780,736,0,12,32,758,22,1300,520,314,397,47
