precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BULEAC TICĂ-MARIUS-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","MODREA DUMITRU-PARTIDUL SOCIAL DEMOCRAT-voturi","DIJMĂRESCU ION-PARTIDUL NAȚIONAL LIBERAL-voturi","GOGĂLNICEANU VASILE-FORȚA DREPTEI-voturi"
20,GORJ,"ȘCOALA GIMNAZIALĂ GRIGORE GEAMĂNU",321,TURCINEŞTI,78089,1,PART,PRCNCT,P,P_SV,"2024-06-10 14:38:00",1388,1338,1,28,21,951,902,0,28,21,938,13,1500,549,83,417,407,31
20,GORJ,"ȘCOALA PRIMARĂ RUGI",322,TURCINEŞTI,78089,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:09:57",506,474,0,26,6,371,339,0,26,6,364,7,517,146,29,129,200,6
