precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"GENES VIOREL-PARTIDUL NAȚIONAL LIBERAL-voturi","CRISTOFOR IONEL-PARTIDUL SOCIAL DEMOCRAT-voturi"
4,BACĂU,"ŞCOALA CONSTANTIN MOSCU IZV.BERHECIULUI",403,"IZVORU BERHECIULUI",23127,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:05:41",644,631,0,8,5,361,348,0,8,5,350,11,700,339,137,213
4,BACĂU,"ŞCOALA GENERALĂ ANTOHEŞTI",405,"IZVORU BERHECIULUI",23127,1,PROV,PRCNCT,P,P_SV,"2024-06-10 02:38:29",315,300,0,13,2,181,166,0,13,2,171,10,300,19,46,125
4,BACĂU,"ŞCOALA GIMNAZIALĂ ”CONSTANTIN MOSCU’’ IZVORU BERHECIULUI",404,"IZVORU BERHECIULUI",23127,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:54:50",329,308,0,19,2,204,183,0,19,2,199,5,300,96,63,136
