precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"PARTIDUL NAȚIONAL LIBERAL-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","FORȚA DREPTEI-voturi"
30,OLT,GRĂDINIŢĂ,124,BALDOVINEŞTI,125677,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 01:43:18",278,259,0,7,12,183,164,0,7,12,176,7,291,108,3,6,166,1
30,OLT,"ŞCOALA GENERALĂ CU CLASELE I-IV GUBANDRU",123,BALDOVINEŞTI,125677,2,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:58:21",106,90,0,11,5,73,57,0,11,5,70,3,105,32,1,5,64,0
30,OLT,"ŞCOALA GENERALĂ CU CLASELE I-VIII BALDOVINEŞTI",122,BALDOVINEŞTI,125677,1,PART,PRCNCT,CL,CL_SV,"2024-06-10 03:30:22",511,477,0,5,29,325,291,0,5,29,320,5,520,195,10,17,223,70
