precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CIOBANU ADRIAN-GEORGE-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","LAZĂR COSTEL-CRISTIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","RUGINĂ DAN-CIPRIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","BIRÓ BARNA-BOTOND-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","TŐKÉS LEHEL-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi"
21,HARGHITA,"ASOCIATIA INTREPRINZATORILOR PARTICULARI",79,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:34:19",1388,1378,6,3,1,654,648,2,3,1,648,6,1500,846,1,0,6,485,156
21,HARGHITA,"BIROU ADMINISTRATIV",250,SECUIENI,85582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:34:55",709,705,2,2,0,368,365,1,2,0,341,27,800,432,16,4,10,297,14
21,HARGHITA,"CABANA OCOLULUI SILVIC",66,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:55:09",68,56,1,11,0,28,17,0,11,0,27,1,200,172,2,3,7,15,0
21,HARGHITA,"CAMIN CULTURAL",132,DEALU,84264,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:59:05",1095,1091,1,3,0,700,696,1,3,0,688,12,1200,500,2,1,3,670,12
21,HARGHITA,"CAMIN CULTURAL",249,SECUIENI,85582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 02:16:37",654,645,3,6,0,313,304,3,6,0,295,18,700,387,38,2,8,232,15
21,HARGHITA,"CAMIN CULTURAL",251,SECUIENI,85582,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 03:56:27",952,948,0,4,0,413,409,0,4,0,330,83,1000,587,13,5,10,293,9
21,HARGHITA,"CĂMIN CULTURAL CICEU",105,CICEU,86461,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 04:16:31",1165,1129,0,0,36,686,650,0,0,36,670,16,1300,614,1,0,8,626,35
21,HARGHITA,"CĂMIN CULTURAL ŞICASĂU",292,ZETEA,86366,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-09 23:55:59",139,129,3,7,0,62,55,0,7,0,59,3,300,238,2,0,0,55,2
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MARE",229,SĂCEL,85467,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 06:24:45",266,258,0,8,0,142,134,0,8,0,128,12,250,110,2,2,6,117,1
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MIC",230,SĂCEL,85467,1,PROV,PRCNCT,PCJ,PCJ_SV,"2024-06-10 00:44:01",329,322,0,7,0,205,198,0,7,0,189,9,300,102,0,2,4,179,4
