precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CRISTEA MIHAI-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","DOBRE GHEORGHE-PARTIDUL SOCIAL DEMOCRAT-voturi","PETRE ŞTEFAN-PARTIDUL NAȚIONAL LIBERAL-voturi","BRÎNCOVEANU VICTOR-ALEXANDRU-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi"
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",182,NANA,104323,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:51:12",817,740,0,9,68,546,470,0,9,67,522,24,887,341,14,297,9,202
12,CĂLĂRAŞI,"SCOALA GIMNAZIALA NR. 1",183,NANA,104323,1,PROV,PRCNCT,P,P_SV,"2024-06-10 11:05:58",931,856,2,5,68,677,605,0,5,67,641,36,1023,346,19,395,30,197
