precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"ALIANȚA DREAPTA UNITĂ USR - PMP-voturi","PARTIDUL NAȚIONAL LIBERAL-voturi","PARTIDUL SOCIAL DEMOCRAT-voturi","ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","SIMÓ ZOLTÁN-voturi"
21,HARGHITA,"ASOCIATIA INTREPRINZATORILOR PARTICULARI",79,"ORAŞ CRISTURU SECUIESC",83525,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:34:19",1388,1378,6,3,1,654,648,2,3,1,626,28,1500,846,13,11,23,5,444,129,1
21,HARGHITA,"BIROU ADMINISTRATIV",250,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:34:56",709,705,2,2,0,368,365,1,2,0,334,34,800,432,18,5,21,10,269,9,2
21,HARGHITA,"CABANA OCOLULUI SILVIC",66,"MUNICIPIUL TOPLIŢA",83632,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:55:04",68,56,1,11,0,28,17,0,11,0,26,2,200,172,4,2,4,4,12,0,0
21,HARGHITA,"CAMIN CULTURAL",132,DEALU,84264,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 04:53:03",1095,1091,1,3,0,700,696,1,3,0,670,30,1200,500,5,11,22,6,616,10,0
21,HARGHITA,"CAMIN CULTURAL",249,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:16:37",654,645,3,6,0,313,304,3,6,0,275,38,700,387,44,18,17,18,170,7,1
21,HARGHITA,"CAMIN CULTURAL",251,SECUIENI,85582,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 03:56:27",952,948,0,4,0,413,409,0,4,0,300,113,1000,587,18,24,18,43,190,4,3
21,HARGHITA,"CĂMIN CULTURAL CICEU",105,CICEU,86461,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 06:43:54",1165,1129,0,0,36,686,650,0,0,36,661,25,1300,614,5,10,22,4,583,34,3
21,HARGHITA,"CĂMIN CULTURAL ŞICASĂU",292,ZETEA,86366,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-09 23:55:59",139,129,3,7,0,62,55,0,7,0,58,4,300,238,3,0,0,2,51,2,0
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MARE",229,SĂCEL,85467,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:31:41",266,258,0,8,0,142,134,0,8,0,118,22,250,110,3,12,11,6,85,1,0
21,HARGHITA,"CĂMIN CULTURAL ȘOIMUȘU MIC",230,SĂCEL,85467,3,PROV,PRCNCT,CJ,CJ_SV,"2024-06-12 12:21:43",329,322,0,7,0,205,198,0,7,0,172,26,300,102,3,1,4,7,152,5,0
21,HARGHITA,"CĂMIN CULTURAL VĂLENI",145,FELICENI,83197,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 01:02:46",293,286,2,5,0,150,145,0,5,0,142,8,300,150,9,2,4,2,101,24,0
21,HARGHITA,"CĂMIN CULTURAL VIDACUT",231,SĂCEL,85467,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 00:24:12",234,232,0,2,0,70,68,0,2,0,58,12,200,130,5,3,25,10,15,0,0
21,HARGHITA,"CAMINUL CULTURAL",159,LELICENI,86479,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:49:57",555,552,1,2,0,320,318,0,2,0,306,14,600,280,4,11,12,5,245,20,9
21,HARGHITA,"CAMINUL CULTURAL",160,LELICENI,86479,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:56:58",405,401,0,3,1,246,242,0,3,1,230,14,450,200,3,9,8,6,191,9,4
21,HARGHITA,"CĂMINUL CULTURAL",98,BILBOR,83936,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 05:09:17",1144,1128,0,1,15,723,707,0,1,15,698,25,1200,477,14,469,163,46,2,1,3
21,HARGHITA,"CĂMINUL CULTURAL",97,BILBOR,83936,2,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 08:53:10",1062,1037,1,2,22,650,626,0,2,22,621,29,1150,500,11,401,183,24,1,1,0
21,HARGHITA,"CĂMINUL CULTURAL",276,TUŞNAD,86188,1,PROV,PRCNCT,CJ,CJ_SV,"2024-06-10 02:51:58",861,841,1,4,15,462,443,0,4,15,412,50,900,438,10,12,7,7,362,11,3
