precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"CONSTANTIN ADRIAN-CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","GHEORGHE CONSTANTIN-SILVIU-PARTIDUL NAȚIONAL LIBERAL-voturi","FORTUNA VERONICA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","BURDUŞA CIPRIAN-OCTAVIAN-PARTIDUL ALTERNATIVA DREAPTĂ-voturi","GANEA SILVIU-PETRIŞOR-FORȚA DREPTEI-voturi","FLOREA VALENTIN-BOGDAN-PARTIDUL UMANIST SOCIAL LIBERAL-voturi","VELTEREAN RĂZVAN-MARIAN-ALIANȚA DREAPTA UNITĂ USR - PMP-voturi"
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",58,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:41:15",1886,1848,18,18,2,929,908,1,18,2,916,13,2100,1171,75,400,30,22,12,24,353
25,ILFOV,"GRĂDINIŢA CU PROGRAM NORMAL NR. 4",59,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:43:33",1797,1765,16,16,0,969,953,0,16,0,954,14,1942,973,86,482,26,11,13,24,312
25,ILFOV,"GRĂDINIȚA CU PROGRAM PRELUNGIT NR.2",61,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:46:38",1523,1505,0,18,0,882,864,0,18,0,867,15,1650,768,77,282,37,23,23,58,367
25,ILFOV,"GRĂDINIŢIA CU PROGRAM PRELUNGIT NR. 2",62,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:35:45",1423,1398,12,13,0,801,787,1,13,0,778,23,1591,790,96,309,32,12,17,97,215
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",52,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:46:08",916,904,9,3,0,508,505,0,3,0,493,15,1000,492,57,326,18,2,6,6,78
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",51,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 13:28:20",1426,1393,21,12,0,726,713,1,12,0,708,18,1500,774,103,369,23,12,10,22,169
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",54,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 10:29:24",1360,1348,2,7,3,746,736,0,7,3,729,17,1500,754,77,453,28,7,11,11,142
25,ILFOV,"LICEUL TEORETIC ”IOAN PETRUŞ”",53,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:50:53",1273,1260,7,5,1,716,710,0,5,1,702,14,1400,684,84,396,23,16,13,9,161
25,ILFOV,"LICEUL TEORETIC IOAN PETRUȘ",60,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:39:39",1279,1139,130,10,0,477,467,0,10,0,468,9,1302,825,48,263,28,7,11,12,99
25,ILFOV,"PRIMĂRIA ORAŞULUI OTOPENI",55,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 12:31:57",1359,1331,16,8,4,749,734,3,8,4,733,16,1500,751,87,461,19,4,12,5,145
25,ILFOV,"SALA DE SPORT OTOPENI",56,"ORAŞ OTOPENI",179481,1,PART,PRCNCT,P,P_SV,"2024-06-10 07:42:20",1746,1724,13,9,0,958,949,0,9,0,943,15,1896,938,126,596,20,12,11,35,143
25,ILFOV,"SALA DE SPORT OTOPENI",57,"ORAŞ OTOPENI",179481,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:06:32",1638,1618,0,20,0,927,907,0,20,0,913,14,1799,872,89,592,22,12,9,12,177
