precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"NEAGOE AURELIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","MANDA EMILIA-PARTIDUL NAȚIONAL LIBERAL-voturi","CĂLINEAŢĂ RADU-PARTIDUL MIȘCAREA POPULARĂ-voturi","PĂTRAŞCU MARIAN-ADRIAN-voturi"
36,TELEORMAN,"GRĂDINIŢA NEGRENII DE SUS",302,"TĂTĂRĂŞTII DE JOS",154585,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:37:44",612,597,0,15,0,347,332,0,15,0,301,31,660,328,177,16,9,99
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ SLĂVEŞTI",303,"TĂTĂRĂŞTII DE JOS",154585,2,PART,PRCNCT,P,P_SV,"2024-06-10 07:59:14",718,684,0,22,12,439,406,0,21,12,429,10,754,315,220,15,15,179
36,TELEORMAN,"ŞCOALA GIMNAZIALĂ TĂTĂRĂŞTII DE JOS",301,"TĂTĂRĂŞTII DE JOS",154585,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:03:01",1109,1086,2,17,4,664,643,0,17,4,631,33,1200,536,310,47,9,265
