precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"DUŢĂ NICOLAE-PARTIDUL SOCIAL DEMOCRAT-voturi","BÉRES CSABA-UNIUNEA DEMOCRATĂ MAGHIARĂ DIN ROMÂNIA-voturi","BOROS DÁVID-ALIANȚA MAGHIARĂ DIN TRANSILVANIA - ERDÉLYI MAGYAR SZÖVETSÉG-voturi","ADONYI GYULA-RICHARD-FORȚA CIVICĂ MAGHIARĂ - MAGYAR POLGÁRI ERŐ-voturi","MAIOR LIVIU-voturi"
5,BIHOR,"CLĂDIREA MUZEULUI",195,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:36:48",1465,1439,7,9,10,781,761,1,9,10,740,40,1580,799,39,255,424,15,7
5,BIHOR,"CLUBUL TINERETULUI",197,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 22:57:24",753,711,1,6,35,551,510,0,6,35,510,27,824,287,7,389,109,4,1
5,BIHOR,"GRĂDINIȚĂ CU PROGRAM PRELUNGIT",193,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 10:45:23",1179,1161,2,11,5,675,659,0,11,5,658,17,1284,609,18,233,395,11,1
5,BIHOR,"GRĂDINIȚA DE LA LOCUL DE CASĂ",194,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:49:57",876,862,2,7,5,492,480,0,7,5,483,9,955,463,20,115,318,29,1
5,BIHOR,"GRĂDINIȚA ȘI ȘCOALA CU CLASELE I-IV",192,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 13:18:49",1487,1473,1,7,6,975,962,0,7,6,856,119,1640,665,45,457,349,4,1
5,BIHOR,"ȘCOALA CU CLASELE I-IV",191,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 12:51:00",1148,1132,0,10,6,674,658,0,10,6,630,44,1252,578,26,249,334,17,4
5,BIHOR,"ŞCOALA GENERALĂ",198,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:24:23",714,691,0,11,12,464,441,0,11,12,434,30,765,299,22,246,149,16,1
5,BIHOR,"ŞCOALA GENERALĂ",199,"ORAŞ SĂCUENI",30915,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:05:58",435,422,0,9,4,276,263,0,9,4,257,19,479,203,5,91,143,18,0
5,BIHOR,"ŞCOALA GENERALĂ",200,"ORAŞ SĂCUENI",30915,1,PART,PRCNCT,P,P_SV,"2024-06-10 11:50:14",720,702,3,6,9,434,419,0,6,9,409,25,801,367,13,245,138,13,0
5,BIHOR,"ŞCOALA GENERALĂ",196,"ORAŞ SĂCUENI",30915,1,PROV,PRCNCT,P,P_SV,"2024-06-10 05:00:00",881,853,1,9,18,519,492,0,9,18,483,36,962,443,13,263,193,11,3
