precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BERECHET CRISTEA-PARTIDUL SOCIAL DEMOCRAT-voturi","BĂDĂUŢĂ EUGEN-STAN-PARTIDUL NAȚIONAL LIBERAL-voturi","COSTACHE ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi","PANĂ PARASCHIV-PARTIDUL MIȘCAREA POPULARĂ-voturi"
36,TELEORMAN,"CĂMINUL CULTURAL BEUCA",98,BEUCA,155092,1,PROV,PRCNCT,P,P_SV,"2024-06-10 08:48:49",971,799,1,76,95,666,495,0,76,95,639,23,875,213,344,279,6,10
36,TELEORMAN,"CĂMINUL CULTURAL PLOPI",99,BEUCA,155092,1,PART,PRCNCT,P,P_SV,"2024-06-10 03:18:21",156,134,0,8,14,118,96,0,8,14,115,3,148,30,20,94,0,1
