precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"OROS CRISTIAN-PARTIDUL SOCIAL DEMOCRAT-voturi","ROMITAN CAMIL-VASILE-voturi"
33,SĂLAJ,"ȘCOALA GENERALĂ BOZNA",296,TREZNEA,179631,1,PART,PRCNCT,P,P_SV,"2024-06-10 01:33:23",209,181,0,23,5,169,141,0,23,5,167,2,217,48,93,74
33,SĂLAJ,"ȘCOALA GIMNAZIALĂ TREZNEA",295,TREZNEA,179631,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:45:40",750,670,1,66,13,583,504,0,66,13,568,15,700,117,352,216
