precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"BUTNARIU DORIN-PETRU-PARTIDUL SOCIAL DEMOCRAT-voturi","TĂBĂCARU IULIAN-MIREL-PARTIDUL NAȚIONAL LIBERAL-voturi","VIERU NAPOLEON-VASILE-UNIUNEA SALVAȚI ROMÂNIA-voturi"
24,IAŞI,"CĂMIN CULTURAL DOLHEȘTI",439,DOLHEŞTI,96904,1,PART,PRCNCT,P,P_SV,"2024-06-10 04:37:50",558,542,1,7,8,300,293,0,7,0,293,7,600,300,110,161,22
24,IAŞI,"ŞCOALA BRĂDICEŞTI",440,DOLHEŞTI,96904,2,PART,PRCNCT,P,P_SV,"2024-06-10 15:05:34",750,724,0,5,21,392,366,0,5,21,362,30,800,408,108,246,8
24,IAŞI,"ŞCOALA PIETRIŞ",441,DOLHEŞTI,96904,2,PART,PRCNCT,P,P_SV,"2024-06-10 12:45:51",804,795,0,5,4,363,354,0,5,4,343,20,870,507,146,147,50
