precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"IRIMIE RĂZVAN-PARTIDUL SOCIAL DEMOCRAT-voturi","TOCACIU GHEORGHE-OVIDIU-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","NAN ARON-ADRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","PANŢIRU MIHAI-ALIANȚA DREAPTA UNITĂ USR - PMP - FORȚA DREPTEI-voturi","MĂSAR IOAN-ALEXANDRU-PARTIDUL ECOLOGIST ROMÂN-voturi"
34,SIBIU,"ŞCOALA GIMNAZIALĂ RUŞI (CORP C2)",344,SLIMNIC,145603,1,PART,PRCNCT,P,P_SV,"2024-06-10 02:43:35",731,719,3,7,2,392,382,1,7,2,387,5,800,408,49,14,99,221,4
34,SIBIU,"ŞCOALA GIMNAZIALĂ SLIMNIC",342,SLIMNIC,145603,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:00",1299,1286,0,6,7,746,733,0,6,7,715,18,1425,692,189,44,310,106,66
34,SIBIU,"ŞCOALA GIMNAZIALĂ SLIMNIC",343,SLIMNIC,145603,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:50:07",1096,1078,4,7,7,634,620,0,7,7,626,8,1200,566,141,61,309,58,57
34,SIBIU,"ŞCOALA GIMNAZIALA VESEUD",345,SLIMNIC,145603,1,PROV,PRCNCT,P,P_SV,"2024-06-09 23:59:54",170,159,0,11,0,91,80,0,11,0,90,1,170,79,8,5,46,12,19
