precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SIMA IRINA-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi","VATRIŞ DAN-CIPRIAN-PARTIDUL NAȚIONAL LIBERAL-voturi","RUSU CORNEL-CRISTIAN-voturi"
37,TIMIŞ,"CASA NATIONALA EFTA BOTOCA",449,JEBEL,157424,1,PART,PRCNCT,P,P_SV,"2024-06-10 09:14:25",1515,1493,3,10,9,821,802,0,10,9,797,24,2024,1203,30,555,212
37,TIMIŞ,"GRADINITA PN JEBEL",450,JEBEL,157424,1,PART,PRCNCT,P,P_SV,"2024-06-10 08:53:36",1631,1583,5,13,30,902,859,0,13,30,878,24,1872,970,37,672,169
