precinct_county_nce,precinct_county_name,precinct_name,precinct_nr,uat_name,uat_siruta,report_version,report_stage_code,report_type_scope_code,report_type_category_code,report_type_code,created_at,a,a1,a2,a3,a4,b,b1,b2,b3,b4,c,d,e,f,"SOPON CRISTIAN-FLORIN-PARTIDUL SOCIAL DEMOCRAT-voturi","PAVEL DANIEL-PARTIDUL NAȚIONAL LIBERAL-voturi","ROGOJÎNĂ TRAIAN-ALIANȚA PENTRU UNIREA ROMÂNILOR-voturi"
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ NR. 2 BOGDĂNEȘTI, LOCAL VECHI",225,BOGDĂNEŞTI,147054,1,PART,PRCNCT,P,P_SV,"2024-06-10 05:54:15",1400,1387,0,11,2,764,751,0,11,2,735,29,1600,836,416,144,175
35,SUCEAVA,"ȘCOALA GIMNAZIALĂ NUMĂRUL 1 BOGDĂNEȘTI, LOCAL VECHI",224,BOGDĂNEŞTI,147054,1,PART,PRCNCT,P,P_SV,"2024-06-10 06:48:15",1874,1858,0,13,3,1035,1019,0,13,3,1005,30,1975,940,560,279,166
